International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jan 1988,Feb 1988,Mar 1988,Apr 1988,May 1988,Jun 1988,Jul 1988,Aug 1988,Sep 1988,Oct 1988,Nov 1988,Dec 1988,Jan 1989,Feb 1989,Mar 1989,Apr 1989,May 1989,Jun 1989,Jul 1989,Aug 1989,Sep 1989,Oct 1989,Nov 1989,Dec 1989,Jan 1990,Feb 1990,Mar 1990,Apr 1990,May 1990,Jun 1990,Jul 1990,Aug 1990,Sep 1990,Oct 1990,Nov 1990,Dec 1990,Jan 1991,Feb 1991,Mar 1991,Apr 1991,May 1991,Jun 1991,Jul 1991,Aug 1991,Sep 1991,Oct 1991,Nov 1991,Dec 1991,Jan 1992,Feb 1992,Mar 1992,Apr 1992,May 1992,Jun 1992,Jul 1992,Aug 1992,Sep 1992,Oct 1992,Nov 1992,Dec 1992,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993
Germany,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",1.65,1.70,1.68,1.67,1.69,1.76,1.84,1.89,1.87,1.82,1.75,1.76,1.83,1.85,1.87,1.87,1.95,1.98,1.89,1.93,1.95,1.87,1.83,1.74,1.69,1.68,1.70,1.69,1.66,1.68,1.64,1.57,1.57,1.52,1.49,1.49,1.51,1.48,1.60,1.70,1.72,1.78,1.79,1.75,1.70,1.69,1.63,1.57,1.58,1.62,1.66,1.65,1.62,1.57,1.49,1.45,1.45,1.48,1.59,1.58,1.62,1.64,1.65,1.60,1.61,1.65,1.71,1.70,1.62,1.64,1.70,1.71
Germany,"Prices, Consumer Price Index, All items, Index",63.50,63.64,63.64,63.78,63.92,63.99,63.99,63.92,63.99,64.06,64.27,64.41,64.97,65.18,65.25,65.67,65.74,65.81,65.74,65.74,65.81,66.02,66.16,66.37,66.72,67.00,67.00,67.14,67.28,67.35,67.35,67.56,67.77,68.26,68.12,68.19,68.61,68.91,68.91,69.21,69.41,69.81,70.61,70.61,70.61,71.71,72.01,72.11,72.51,72.91,73.21,73.51,73.71,73.91,74.11,74.11,74.11,74.11,74.41,74.51,75.81,76.41,76.61,76.81,76.91,77.11,77.51,77.51,77.41,77.41,77.51,77.71
